Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
65825-1,Bonus/Value Pack,2005,Castle,Historical,Product Collection,Collection,{Not specified},0,{Not specified},264,,12,0,,,
65826-1,Bonus/Value Pack,2005,Racers,Racing,Product Collection,Collection,{Not specified},0,{Not specified},380,,6,0,,,
65828-1,Bonus/Value Pack,2005,Star Wars,Licensed,Product Collection,Collection,{Not specified},0,{Not specified},244,,31,0,,,
65829-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},425,,14,0,,,
65830-1,Bonus/Value Pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},96,,14,0,,,
65838-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},335,,16,0,,,
65844-1,Bonus/Value Pack,2005,Star Wars,Licensed,Product Collection,Collection,{Not specified},0,{Not specified},280,,40,0,,0,
65845-1,Bonus/Value Pack,2005,Star Wars,Licensed,Product Collection,Collection,{Not specified},0,{Not specified},371,,43,0,,0,
65849-1,Bionicle Co-pack,2005,Bionicle,Constraction,Product Collection,Collection,{Not specified},0,{Not specified},410,,35,0,,0,
65851-1,Knights' Kingdom Co-pack,2005,Castle,Historical,Product Collection,Collection,Box,0,Retail - limited,280,,19,0,,0,
66069-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},126,,14,0,,,
66070-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},121,,15,0,,,
66107-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},260,,15,0,,0,
66138-1,Toa Hordika Super Pack 6-in-1,2005,Bionicle,Constraction,Product Collection,Collection,Box,0,Retail - limited,288,,26,0,,0,
66139-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},208,,15,0,,,
66171-1,Bonus/Value Pack,2005,City,Modern day,Product Collection,Collection,{Not specified},0,{Not specified},121,,15,0,,,
